Szybkość Ścinania;Lepkość
0,0333;21,22
0,01198;42,45
0,01974;24,56
0,02621;20,34
0,0214;22,05
0,02933;17,01
0,02844;17,24
0,03324;15,19
0,03546;14,63
0,03931;13,62
0,04289;12,97
0,04707;12,32
0,05164;11,78
0,05656;11,24
0,06194;10,77
0,06789;10,39
0,07453;10,05
0,08155;9,763
0,08945;9,5
0,09802;9,288
0,1076;9,041
0,1177;8,797
0,129;8,574
0,1414;8,42
0,155;8,315
0,1699;8,254
0,1862;8,227
0,2047;8,237
0,2249;8,867
0,2479;9,251
0,2699;9,06
0,2956;8,824
0,3241;8,589
0,3552;8,326
0,3883;8,119
0,4267;8,033
0,4673;7,965
0,5122;7,86
0,5615;7,839
0,6168;7,875
0,6764;7,96
0,7413;8,052
0,8125;8,143
0,8907;8,202
0,9763;8,179
1,07;8,04
1,173;7,8
1,285;7,487
1,409;7,109
1,544;6,691
1,693;6,263
1,858;5,84
2,036;5,437
2,232;5,055
2,446;4,695
2,681;4,357
2,939;4,032
3,221;3,722
3,53;3,433
3,869;3,171
4,241;2,933
4,648;2,707
5,095;2,493
5,584;2,3
6,12;2,126
6,708;1,961
7,352;1,81
8,058;1,672
8,832;1,544
9,68;1,426
10,61;1,318
11,63;1,22
12,75;1,127
13,97;1,043
15,31;0,9664
16,78;0,8952
18,39;0,8297
20,16;0,7696
22,1;0,7144
24,22;0,6633
26,54;0,6162
29,1;0,5729
31,89;0,5329
34,95;0,4961
38,3;0,462
41,98;0,4304
46,02;0,4011
50,48;0,3737
55,34;0,3486
60,66;0,3254
66,48;0,3041
72,87;0,2844
79,87;0,2661
87,54;0,2493
95,94;0,2338
105,2;0,2194
115,3;0,2061
126,3;0,1937
138,5;0,1823
151,8;0,1717
166,3;0,1619
182,4;0,1528
200;0,1443
219,2;0,1364
240,2;0,1292
263,3;0,1224
288,6;0,1161
316,3;0,1102
346,7;0,1048
380;0,09972
416,7;0,09496
456,8;0,09073
