Szybkość Ścinania;Lepkość
0,03548;514,5
0,03884;473,8
0,04087;451,6
0,04355;428,1
0,04722;400,4
0,05174;372
0,05689;345
0,06247;320,3
0,06813;300,9
0,07512;281,2
0,08198;263,5
0,09016;243,7
0,09882;226,1
0,1084;210
0,1188;195,4
0,1301;181,6
0,1427;168,9
0,1564;158
0,1714;148,1
0,1879;139,3
0,2059;131,3
0,2259;123,4
0,2477;115,7
0,2714;108,3
0,2975;101,4
0,326;95,15
0,3573;89,92
0,3916;85,76
0,4293;82,56
0,4706;80,31
0,516;79,83
0,5657;80,55
0,6203;79,28
0,6799;75,68
0,7451;71,83
0,8168;69,41
0,8955;67,5
0,9814;65,7
1,076;64,93
1,179;64,65
1,292;65,47
1,416;67,67
1,552;67,37
1,701;65,34
1,865;65,29
2,044;65,24
2,24;64,19
2,455;61,44
2,691;58,57
2,95;55,25
3,233;51,49
3,543;50,2
3,884;50,16
4,256;48,58
4,665;45,73
5,113;42,11
5,604;38,17
6,142;35,26
6,732;33,41
7,379;31,95
8,088;30,16
8,864;27,8
9,72;25,74
10,65;23,99
11,67;22,25
12,79;20,68
14,02;19,25
15,37;17,48
16,84;15,93
18,46;14,89
20,23;13,82
22,18;12,81
24,31;11,92
26,64;11,09
29,20;10,33
32,00;9,62
35,08;8,96
38,44;8,34
42,14;7,77
46,18;7,24
50,62;6,756
55,48;6,298
60,81;5,871
66,65;5,471
73,05;5,084
80,06;4,72
87,75;4,39
96,18;4,074
105,4;3,789
115,5;3,531
126,6;3,265
138,8;3,018
152,1;2,836
166,7;2,678
182,7;2,508
200,3;2,348
219,5;2,206
240,6;2,078
263,7;1,955
289;1,84
316,8;1,732
347,2;1,626
380,6;1,505
417,1;1,298
457,2;0,9681
