Szybkość Ścinania;Lepkość
0,01842;761,2
0,01911;741,8
0,0205;709,5
0,02293;643,3
0,02498;600,8
0,02758;554,8
0,02978;519,9
0,033;471,4
0,03579;435,6
0,03937;398,4
0,04335;365
0,04757;336,4
0,05209;310,9
0,05705;287,1
0,06251;264,8
0,06849;244,2
0,07504;225,7
0,08227;209,4
0,09018;194,7
0,09885;181,1
0,1083;168,3
0,1187;156,4
0,1301;145,7
0,1426;136,1
0,1563;127,6
0,1715;119,5
0,1878;112
0,2059;105,3
0,2256;99,46
0,2474;94,1
0,2713;89,09
0,2974;84,49
0,3259;80,2
0,3572;76,22
0,3915;72,55
0,4291;69,18
0,4703;65,99
0,5155;62,91
0,565;60,19
0,6197;57,71
0,6794;55,33
0,7446;53,06
0,8161;51,12
0,8947;49,32
0,9809;47,36
1,075;45,36
1,178;43,68
1,292;42,4
1,416;41,28
1,552;40,33
1,701;39,11
1,865;37,7
2,044;36,37
2,24;34,75
2,455;32,72
2,69;30,40
2,95;28,05
3,23;25,90
3,54;23,94
3,88;22,07
4,26;20,17
4,67;18,33
5,11;16,88
5,60;15,66
6,14;14,39
6,73;13,28
7,38;12,29
8,09;11,34
8,86;10,51
9,72;9,73
10,65;9,01
11,67;8,37
12,79;7,78
14,02;7,21
15,37;6,70
16,84;6,24
18,46;5,82
20,23;5,43
22,18;5,06
24,31;4,73
26,64;4,421
29,2;4,137
32;3,872
35,08;3,625
38,44;3,396
42,14;3,183
46,18;2,987
50,62;2,804
55,48;2,635
60,81;2,477
66,65;2,33
73,05;2,194
80,06;2,068
87,75;1,95
96,18;1,839
105,4;1,736
115,5;1,639
126,6;1,549
138,8;1,465
152,1;1,386
166,7;1,312
182,7;1,244
200,3;1,181
219,5;1,121
240,6;1,063
263,7;1,009
289;0,9595
316,8;0,9136
347,2;0,8708
380,6;0,8308
417,1;0,7944
457,2;0,7611
