Szybkość Ścinania;Lepkość
0,02404;131,9
0,01917;185
0,02562;129,3
0,02237;163,7
0,02892;119,9
0,02929;120,9
0,0326;110,7
0,0364;96,31
0,03913;89,38
0,04308;82,32
0,04751;75,08
0,05186;69,26
0,05682;64,14
0,06236;59,42
0,06832;55,36
0,07492;51,77
0,08209;48,57
0,08994;45,74
0,09857;43,18
0,1081;40,81
0,1184;38,72
0,1298;36,97
0,1423;35,46
0,1561;33,9
0,171;32,2
0,1873;30,49
0,2053;29,11
0,225;27,76
0,2467;26,62
0,2704;25,53
0,2962;24,5
0,3247;23,62
0,3563;22,7
0,3905;22,02
0,4283;21,18
0,4685;20,27
0,5136;19,66
0,5639;19,16
0,6181;18,82
0,6774;18,66
0,7426;18,6
0,8138;18,59
0,8921;18,64
0,9784;18,68
1,073;18,75
1,176;18,86
1,289;18,96
1,413;19,1
1,55;19,2
1,699;19,15
1,862;18,86
2,041;18,36
2,238;17,75
2,453;17,11
2,689;16,48
2,947;15,82
3,231;15,1
3,542;14,31
3,882;13,46
4,255;12,58
4,664;11,72
5,112;10,84
5,602;9,993
6,14;9,217
6,73;8,481
7,378;7,814
8,088;7,208
8,864;6,653
9,715;6,149
10,65;5,681
11,67;5,25
12,79;4,848
14,02;4,479
15,37;4,141
16,84;3,829
18,46;3,543
20,23;3,281
22,18;3,039
24,31;2,812
26,64;2,601
29,2;2,41
32;2,235
35,08;2,074
38,44;1,926
42,14;1,788
46,18;1,66
50,62;1,546
55,48;1,441
60,81;1,344
66,65;1,253
73,05;1,168
80,06;1,091
87,75;1,019
96,18;0,9523
105,4;0,8904
115,5;0,8326
126,6;0,7787
138,8;0,7285
152,1;0,6821
166,7;0,6392
182,7;0,5995
200,3;0,5629
219,5;0,5287
240,6;0,4968
263,7;0,4672
289;0,4397
316,8;0,4142
347,2;0,3905
380,6;0,3686
417,1;0,3481
457,2;0,3292
